Difference (cm^-1),Computational Frequency (cm^-1),Scaled Computational Frequency (cm^-1),Selected Experimental Frequency (cm^-1),Computational Intensity,Computational Relative Intensity,Computational Reduced Mass,Computational Frequency Constant
2.147875699999986,1486.5347,1440.452124,1442.6,15.2481,0.2218,2.9055,3.7829
2.1911294000001362,1419.3074,1375.3088705999999,1377.5,11.9122,0.1733,3.834,4.5504
6.495231700000204,1577.6107,1528.7047682999998,1535.2,13.9108,0.2024,4.7144,6.9132
3.8377490999998827,1132.1339,1097.037749,1093.2,78.3055,0.2486,1.9495,1.4722
5.685230000000047,1344.67,1302.98523,1297.3,59.323,0.1883,2.703,2.8795
8.687232200000153,1572.0462,1523.3127677999998,1532,57.4168,0.1823,6.4941,9.4558
8.784644500000013,756.6405,733.1846445,724.4,69.8672,0.2218,1.6741,0.5647
2.6706987999999683,770.1452,746.2706988,743.6,38.8357,0.5607,1.2541,0.4382
5.629115899999988,1531.5489,1484.070884,1489.7,10.685,0.1543,4.056,5.6055
6.991225299999996,805.5637,780.5912253,773.6,46.3708,0.6694,1.4165,0.5416
7.797559800000045,1489.7858,1443.60244,1451.4,69.2674,1,5.234,6.8443
4.283958399999847,1430.6336,1386.2839583999998,1382,241.333,0.3379,3.6093,4.3524
8.938501100000167,1229.1419,1191.038501,1182.1,134.2553,0.188,1.8322,1.6309
17.973235699999805,1315.0947,1274.3267643000001,1292.3,76.1541,0.1066,2.7072,2.7586
22.8200504,1386.5016,1343.52005,1320.7,714.2433,1,7.0242,7.9559
4.7728077,1470.3067,1424.727192,1429.5,15.2566,0.3138,3.287,4.1866
4.970968699999958,767.4623,743.6709687,738.7,19.5385,0.4019,1.3223,0.4589
5.521550999999818,1505.079,1458.421551,1452.9,7.0082,0.1442,3.2846,4.3838
6.401228700000047,1528.9977,1481.598771,1488,17.0633,0.351,3.8215,5.2637
2.3801730000000134,1482.683,1436.719827,1439.1,352.5735,1,3.5115,4.5483
3.466166,1385.414,1342.466166,1339,75.9604,0.2154,3.1733,3.5886
8.503797500000019,802.3775,777.5037975,769,56.8451,0.1612,1.5455,0.5862
11.15343299999995,1467.857,1422.353433,1411.2,101.112,0.2868,2.7723,3.5193
0.3285937999999078,763.6002,739.9285937999999,739.6,73.2979,1,1.232,0.4232
1.8998637000004237,3180.0827,3081.5001362999997,3083.4,18.982,0.259,1.0905,6.4977
3.7576665000001412,1673.5215,1621.642334,1625.4,21.5344,0.2938,6.4727,10.6807
5.737751800000069,1605.0178,1555.262248,1561,9.2669,0.1264,7.5753,11.4977
2.6151654000000235,1618.6634,1568.4848345999999,1571.1,41.9712,0.4989,6.3988,9.8779
3.8619385999999167,765.0794,741.3619385999999,737.5,84.1352,1,1.2579,0.4338
5.149897300000077,525.7483,509.45010269999995,514.6,43.8268,0.5209,7.2473,1.1803
6.0204612,489.4948,474.3204612,468.3,20.8766,0.2481,2.5703,0.3629
1.2738166999999976,765.1457,741.4261833,742.7,40.6222,0.6821,1.2616,0.4352
2.1672700000000304,927.83,899.06727,896.9,12.2992,0.2065,1.5804,0.8016
2.900878400000238,3186.6864,3087.899122,3090.8,23.4347,0.3935,1.0956,6.5553
4.0103039999999055,1470.784,1425.1896960000001,1429.2,59.5516,1,3.003,3.8274
2.6761999000000287,1657.7129,1606.3238,1609,12.3567,0.1891,6.5523,10.6088
2.725315000000137,1609.365,1559.474685,1562.2,13.9699,0.2138,5.5555,8.4778
3.1555743999999777,769.0976,745.2555744,742.1,24.1557,0.3697,1.2481,0.435
6.1955840999999054,582.1511,564.1044159,570.3,38.4971,0.5892,7.5182,1.5012
2.4047842,3192.1618,3093.2047841999997,3090.8,24.369,0.2524,1.094,6.568
